DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2016.10.27,49.18,50.03,48.99,49.58,169,169,0
2016.10.28,49.57,49.77,48.41,48.63,179,179,0
2016.10.31,48.29,48.71,46.62,46.9,280,280,0
2016.11.01,46.89,47.31,46.18,46.38,176,176,0
2016.11.02,46.37,46.43,44.95,45.62,222,222,0
2016.11.03,45.63,45.86,44.35,44.69,209,209,0
2016.11.04,44.68,44.83,43.56,44.09,196,196,0
2016.11.07,44.47,44.96,44.08,44.91,133,133,0
2016.11.08,44.93,45.35,44.4,44.78,176,176,0
2016.11.09,44.79,45.92,43.05,45.3,524,524,0
2016.11.10,45.32,45.61,44.24,44.26,169,169,0
2016.11.11,44.33,44.6,43.02,43.09,193,193,0
2016.11.14,43.16,44.37,42.67,44.24,233,233,0
2016.11.15,44.3,46.66,44.11,46.36,305,305,0
2016.11.16,46.34,46.95,45.64,45.8,209,209,0
2016.11.17,45.85,47.09,45.46,45.48,290,290,0
2016.11.18,45.49,46.42,45.17,46.27,173,173,0
2016.11.21,46.48,48.48,46.43,48.29,230,230,0
2016.11.22,48.34,49.17,47.15,47.88,359,359,0
2016.11.23,47.92,48.39,47.4,47.91,198,198,0
2016.11.24,47.94,48.22,47.79,47.97,84,84,0
2016.11.25,47.96,48,45.87,45.94,225,225,0
2016.11.28,45.58,47.62,45.11,46.85,376,376,0
2016.11.29,46.88,46.94,44.81,45.22,261,261,0
2016.11.30,45.2,49.87,45.19,48.96,561,561,0
2016.12.01,49.04,51.76,48.96,50.86,379,379,0
2016.12.02,50.94,51.7,50.17,51.63,238,238,0
2016.12.05,51.56,52.39,50.92,50.96,235,235,0
2016.12.06,50.92,51.57,50.27,50.89,258,258,0
2016.12.07,50.9,51.17,49.7,49.79,184,184,0
2016.12.08,49.82,50.94,49.58,50.93,162,162,0
2016.12.09,50.89,51.63,50.84,51.44,104,104,0
2016.12.12,52.85,54.47,52.17,52.39,415,415,0
